source	target	target_id
Podocyte	kidney glomerular epithelial cell	CL:1000510
Principal cell	renal principal cell	CL:0005009
Proximal tubule cell	epithelial cell of proximal tubule	CL:0002306
Pseudostratified columnar cell	columnar/cuboidal epithelial cell	CL:0000075
Purkinje cell	Purkinje cell	CL:0000121
Respiratory ciliated cell	ciliated cell	CL:0000064
Retinal cell	retinal cell	CL:0009004
Retinal pigment epithelial cell	retinal pigment epithelial cell	CL:0002586
Salivary NKT 	mature NK T cell	CL:0000814
Salivary acinar cell	acinar cell of salivary gland	CL:0002623
Salivary goblet/mucous cell	mucus secreting cell	CL:0000319
Salivary intercalated cell	stromal cell	CL:0000499
Salivary serous/acinar cell	acinar cell of salivary gland	CL:0002623
Salivary stromal cell	stromal cell	CL:0000499
Sertoli cell	Sertoli cell	CL:0000216
Smooth muscle cell	smooth muscle cell	CL:0000192
Somatotrope	somatotroph	CL:0002312
Stellate cell	stellate neuron	CL:0000122
Stromal cell	stromal cell	CL:0000499
T cell	T cell	CL:0000084
T cell/NKT cell	mature NK T cell	CL:0000814
Theca cell/granulosa	theca cell	CL:0000503
Thyroid endothelial cell	endothelial cell	CL:0000115
Thyroid follicular cell	thyroid follicular cell	CL:0002258
Thyroid stromal cell	stromal cell	CL:0000499
Tongue stromal cell	stromal cell	CL:0000499
Type I skeletal muscle myonuclei	slow muscle myoblast	CL:0000857
Type II skeletal muscle myonuclei	fast muscle myoblast	CL:0000858
Type IIa skeletal muscle myonuclei	fast muscle myoblast	CL:0000858
Unknown cell	unknown	unknown
Upper digestive tract epithelial cells	epithelial cell	CL:0000066
Uterus luminal epithelial cell	epithelial cell of uterus	CL:0002149
Uterus stromal cell	stromal cell	CL:0000499
Viseral adipose mesothelial cell	mesothelial cell	CL:0000077
